ID,Background,Back Accessory,Body,Clothes,Mouth,Eyes,Wield,Accessory,Head,Earring,Rarity,Metadata
00501,Hex Orange,Bumble Bee,Red,Goku Gi,Gold Tooth,Assassin Gray,Cocktail,Green Energy,War Helmet,Spikes,618.2,"{""721"":{""ergoat-00501"":{""index"":00501,""generation"":1,""background"":""Hex Orange"",""back_accessory"":""Bumble Bee"",""body"":""Red"",""clothes"":""Goku Gi"",""mouth"":""Gold Tooth"",""eyes"":""Assassin Gray"",""wield"":""Cocktail"",""accessory"":""Green Energy"",""head"":""War Helmet"",""earring"":""Spikes""}}}"
00502,Hazy Eve,None,Brown,Holiday Suit,Tongue Tied,Angry Purple,White Wine,Silver Chain Necklace,Rambo,Snowman,910.9,"{""721"":{""ergoat-00502"":{""index"":00502,""generation"":1,""background"":""Hazy Eve"",""back_accessory"":""None"",""body"":""Brown"",""clothes"":""Holiday Suit"",""mouth"":""Tongue Tied"",""eyes"":""Angry Purple"",""wield"":""White Wine"",""accessory"":""Silver Chain Necklace"",""head"":""Rambo"",""earring"":""Snowman""}}}"
00503,Rojo,None,Red,Ronin Black,Screaming,Shoujo,White Wine,Pentagram,Santa Hat,Hanafudu No2,788.7,"{""721"":{""ergoat-00503"":{""index"":00503,""generation"":1,""background"":""Rojo"",""back_accessory"":""None"",""body"":""Red"",""clothes"":""Ronin Black"",""mouth"":""Screaming"",""eyes"":""Shoujo"",""wield"":""White Wine"",""accessory"":""Pentagram"",""head"":""Santa Hat"",""earring"":""Hanafudu No2""}}}"
00504,Copper Battery,Red Katana,Brown,Holiday Suit,Snake,Assassin Green,Spiked Bat,Gray Collar,Blue Flame,Safety Pin,669.1,"{""721"":{""ergoat-00504"":{""index"":00504,""generation"":1,""background"":""Copper Battery"",""back_accessory"":""Red Katana"",""body"":""Brown"",""clothes"":""Holiday Suit"",""mouth"":""Snake"",""eyes"":""Assassin Green"",""wield"":""Spiked Bat"",""accessory"":""Gray Collar"",""head"":""Blue Flame"",""earring"":""Safety Pin""}}}"
00505,Score Line,None,Red,Orange Hawaiian Shirt,Sharp,Kawaii,Trident,Silver Chain Necklace,Afro,Ergo Chain,787.1,"{""721"":{""ergoat-00505"":{""index"":00505,""generation"":1,""background"":""Score Line"",""back_accessory"":""None"",""body"":""Red"",""clothes"":""Orange Hawaiian Shirt"",""mouth"":""Sharp"",""eyes"":""Kawaii"",""wield"":""Trident"",""accessory"":""Silver Chain Necklace"",""head"":""Afro"",""earring"":""Ergo Chain""}}}"
00506,Best Friend,None,Yellow,Holiday Suit,Screaming,Calm Purple,Dragon Ball,Nose Scar,Horns,Spikes,876.9,"{""721"":{""ergoat-00506"":{""index"":00506,""generation"":1,""background"":""Best Friend"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Holiday Suit"",""mouth"":""Screaming"",""eyes"":""Calm Purple"",""wield"":""Dragon Ball"",""accessory"":""Nose Scar"",""head"":""Horns"",""earring"":""Spikes""}}}"
00507,Score Line,None,Purple,Black ERGoat Shirt,Smirk,Super,Basketball,Reading Glasses,Red Beanie,Pentagram,853.5,"{""721"":{""ergoat-00507"":{""index"":00507,""generation"":1,""background"":""Score Line"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Smirk"",""eyes"":""Super"",""wield"":""Basketball"",""accessory"":""Reading Glasses"",""head"":""Red Beanie"",""earring"":""Pentagram""}}}"
00508,Sacre Bleu,None,Brown,Ronin Black,Screaming,Assassin Gray,Cigarette,Red Energy,Green Neon Horns,Diamond Stud,867.7,"{""721"":{""ergoat-00508"":{""index"":00508,""generation"":1,""background"":""Sacre Bleu"",""back_accessory"":""None"",""body"":""Brown"",""clothes"":""Ronin Black"",""mouth"":""Screaming"",""eyes"":""Assassin Gray"",""wield"":""Cigarette"",""accessory"":""Red Energy"",""head"":""Green Neon Horns"",""earring"":""Diamond Stud""}}}"
00509,Cheap Red,None,Brown,White Suit,Missing Tooth,Assassin Gray,Coconut,Nose Scar,Green Neon Horns,None,959,"{""721"":{""ergoat-00509"":{""index"":00509,""generation"":1,""background"":""Cheap Red"",""back_accessory"":""None"",""body"":""Brown"",""clothes"":""White Suit"",""mouth"":""Missing Tooth"",""eyes"":""Assassin Gray"",""wield"":""Coconut"",""accessory"":""Nose Scar"",""head"":""Green Neon Horns"",""earring"":""None""}}}"
00510,Sacre Bleu,Rainbow Demon Wings,Yellow,Pink Suit,Flopped,Calm Purple,Wolverine,Bronze Medal,Purple Beanie,None,860.5,"{""721"":{""ergoat-00510"":{""index"":00510,""generation"":1,""background"":""Sacre Bleu"",""back_accessory"":""Rainbow Demon Wings"",""body"":""Yellow"",""clothes"":""Pink Suit"",""mouth"":""Flopped"",""eyes"":""Calm Purple"",""wield"":""Wolverine"",""accessory"":""Bronze Medal"",""head"":""Purple Beanie"",""earring"":""None""}}}"
00511,Crime Scene,None,Yellow,Goku Gi,Snake,Angry Purple,Red Wine,Green Scouter,Green Neon Horns,None,849.1,"{""721"":{""ergoat-00511"":{""index"":00511,""generation"":1,""background"":""Crime Scene"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Goku Gi"",""mouth"":""Snake"",""eyes"":""Angry Purple"",""wield"":""Red Wine"",""accessory"":""Green Scouter"",""head"":""Green Neon Horns"",""earring"":""None""}}}"
00512,Island in Blood,Bumble Bee,Yellow,Bulls Jersey,Flopped,Angry Purple,Snowball,Gold Chain Necklace,Dark Ronin Hat,Rainbow Disco Ball,634.2,"{""721"":{""ergoat-00512"":{""index"":00512,""generation"":1,""background"":""Island in Blood"",""back_accessory"":""Bumble Bee"",""body"":""Yellow"",""clothes"":""Bulls Jersey"",""mouth"":""Flopped"",""eyes"":""Angry Purple"",""wield"":""Snowball"",""accessory"":""Gold Chain Necklace"",""head"":""Dark Ronin Hat"",""earring"":""Rainbow Disco Ball""}}}"
00513,Cheap Red,None,Green,White ERGoat Shirt,Gritted Teeth,Angry Red,Candy Cane,Red Collar,Halo,Ruby Stud,831.5,"{""721"":{""ergoat-00513"":{""index"":00513,""generation"":1,""background"":""Cheap Red"",""back_accessory"":""None"",""body"":""Green"",""clothes"":""White ERGoat Shirt"",""mouth"":""Gritted Teeth"",""eyes"":""Angry Red"",""wield"":""Candy Cane"",""accessory"":""Red Collar"",""head"":""Halo"",""earring"":""Ruby Stud""}}}"
00514,Psycho,Nine Tales,Red,White ERGoat Shirt,Grin,Stoned,Spiked Bat,Pentagram,Rambo,None,837.8,"{""721"":{""ergoat-00514"":{""index"":00514,""generation"":1,""background"":""Psycho"",""back_accessory"":""Nine Tales"",""body"":""Red"",""clothes"":""White ERGoat Shirt"",""mouth"":""Grin"",""eyes"":""Stoned"",""wield"":""Spiked Bat"",""accessory"":""Pentagram"",""head"":""Rambo"",""earring"":""None""}}}"
00515,Red Window,Monkey Tail,Teal,Ronin Black,Grin,Crazy Yellow,Spirit Gun,Blue Energy,Blue Flame,Diamond Stud,775.6,"{""721"":{""ergoat-00515"":{""index"":00515,""generation"":1,""background"":""Red Window"",""back_accessory"":""Monkey Tail"",""body"":""Teal"",""clothes"":""Ronin Black"",""mouth"":""Grin"",""eyes"":""Crazy Yellow"",""wield"":""Spirit Gun"",""accessory"":""Blue Energy"",""head"":""Blue Flame"",""earring"":""Diamond Stud""}}}"
00516,Sacre Bleu,None,Teal,Baphomet,Missing Tooth,Angry Purple,Spirit Gun,3D Glasses No1,Red Beanie,None,944.6,"{""721"":{""ergoat-00516"":{""index"":00516,""generation"":1,""background"":""Sacre Bleu"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""Baphomet"",""mouth"":""Missing Tooth"",""eyes"":""Angry Purple"",""wield"":""Spirit Gun"",""accessory"":""3D Glasses No1"",""head"":""Red Beanie"",""earring"":""None""}}}"
00517,Movie Foam,None,Orange,Yellow Ninja Armor,Gold Tooth,Assassin Green,Katana,Green Energy,Orange Afro,Diamond Stud,813,"{""721"":{""ergoat-00517"":{""index"":00517,""generation"":1,""background"":""Movie Foam"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""Yellow Ninja Armor"",""mouth"":""Gold Tooth"",""eyes"":""Assassin Green"",""wield"":""Katana"",""accessory"":""Green Energy"",""head"":""Orange Afro"",""earring"":""Diamond Stud""}}}"
00518,Forever Sunshine,None,Purple,White ERGoat Shirt,Sharp,Angry Red,Spiked Bat,Green Scouter,Dark Horns,Sapphire Stud,863.5,"{""721"":{""ergoat-00518"":{""index"":00518,""generation"":1,""background"":""Forever Sunshine"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""White ERGoat Shirt"",""mouth"":""Sharp"",""eyes"":""Angry Red"",""wield"":""Spiked Bat"",""accessory"":""Green Scouter"",""head"":""Dark Horns"",""earring"":""Sapphire Stud""}}}"
00519,Clover Field,None,Teal,Lab Coat No1,Screaming,Crazy Yellow,Snowball,Red Energy,Red Beanie,Spikes,870.2,"{""721"":{""ergoat-00519"":{""index"":00519,""generation"":1,""background"":""Clover Field"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""Lab Coat No1"",""mouth"":""Screaming"",""eyes"":""Crazy Yellow"",""wield"":""Snowball"",""accessory"":""Red Energy"",""head"":""Red Beanie"",""earring"":""Spikes""}}}"
00520,Sacre Bleu,None,Teal,Black ERGoat Shirt,Sharp,Angry Red,Basketball,3D Glasses No2,Green Beanie,Ergo Chain,901.5,"{""721"":{""ergoat-00520"":{""index"":00520,""generation"":1,""background"":""Sacre Bleu"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Sharp"",""eyes"":""Angry Red"",""wield"":""Basketball"",""accessory"":""3D Glasses No2"",""head"":""Green Beanie"",""earring"":""Ergo Chain""}}}"
00521,Watermelon,None,Teal,White ERGoat Shirt,Gritted Teeth,Assassin Gray,Tie Dye Wine,Nose Scar,Rambo,Pentagram,889.5,"{""721"":{""ergoat-00521"":{""index"":00521,""generation"":1,""background"":""Watermelon"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""White ERGoat Shirt"",""mouth"":""Gritted Teeth"",""eyes"":""Assassin Gray"",""wield"":""Tie Dye Wine"",""accessory"":""Nose Scar"",""head"":""Rambo"",""earring"":""Pentagram""}}}"
00522,Water Hole,Rainbow Angel Wings,Teal,Baphomet,Flopped,Calm Purple,White Wine,Evil Face Tattoo,War Helmet,None,855.9,"{""721"":{""ergoat-00522"":{""index"":00522,""generation"":1,""background"":""Water Hole"",""back_accessory"":""Rainbow Angel Wings"",""body"":""Teal"",""clothes"":""Baphomet"",""mouth"":""Flopped"",""eyes"":""Calm Purple"",""wield"":""White Wine"",""accessory"":""Evil Face Tattoo"",""head"":""War Helmet"",""earring"":""None""}}}"
00523,Cheap Red,Monkey Tail,Blue,Goats Jersey,Snake,Calm Teal,Wolverine,Face Cuts,Rambo,Hanafudu No1,724.8,"{""721"":{""ergoat-00523"":{""index"":00523,""generation"":1,""background"":""Cheap Red"",""back_accessory"":""Monkey Tail"",""body"":""Blue"",""clothes"":""Goats Jersey"",""mouth"":""Snake"",""eyes"":""Calm Teal"",""wield"":""Wolverine"",""accessory"":""Face Cuts"",""head"":""Rambo"",""earring"":""Hanafudu No1""}}}"
00524,Sacre Bleu,None,Orange,Bulls Jersey,Missing Tooth,Stoned,Wolverine,Silver Chain Necklace,Green Beanie,None,969.1,"{""721"":{""ergoat-00524"":{""index"":00524,""generation"":1,""background"":""Sacre Bleu"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""Bulls Jersey"",""mouth"":""Missing Tooth"",""eyes"":""Stoned"",""wield"":""Wolverine"",""accessory"":""Silver Chain Necklace"",""head"":""Green Beanie"",""earring"":""None""}}}"
00525,Monochrome,Blue Parrot,Pink,White Suit,Flopped,Assassin Green,Wolverine,Red Energy,Cowboy Hat,None,889.5,"{""721"":{""ergoat-00525"":{""index"":00525,""generation"":1,""background"":""Monochrome"",""back_accessory"":""Blue Parrot"",""body"":""Pink"",""clothes"":""White Suit"",""mouth"":""Flopped"",""eyes"":""Assassin Green"",""wield"":""Wolverine"",""accessory"":""Red Energy"",""head"":""Cowboy Hat"",""earring"":""None""}}}"
00526,Sun Belt,None,Red,Black Suit,Missing Tooth,Calm Purple,Flame,Blue Energy,Horns,Snow Globe,933,"{""721"":{""ergoat-00526"":{""index"":00526,""generation"":1,""background"":""Sun Belt"",""back_accessory"":""None"",""body"":""Red"",""clothes"":""Black Suit"",""mouth"":""Missing Tooth"",""eyes"":""Calm Purple"",""wield"":""Flame"",""accessory"":""Blue Energy"",""head"":""Horns"",""earring"":""Snow Globe""}}}"
00527,Sun Belt,None,Brown,Black Suit,Screaming,Crazy Yellow,Cigarette,Reading Glasses,Red Beanie,Hanafudu No2,959,"{""721"":{""ergoat-00527"":{""index"":00527,""generation"":1,""background"":""Sun Belt"",""back_accessory"":""None"",""body"":""Brown"",""clothes"":""Black Suit"",""mouth"":""Screaming"",""eyes"":""Crazy Yellow"",""wield"":""Cigarette"",""accessory"":""Reading Glasses"",""head"":""Red Beanie"",""earring"":""Hanafudu No2""}}}"
00528,Pinot Noir Film,Nine Tales,Blue,Joker Suit,Missing Tooth,Assassin Gray,Tie Dye Wine,Nose Scar,Green Beanie,Snow Globe,795,"{""721"":{""ergoat-00528"":{""index"":00528,""generation"":1,""background"":""Pinot Noir Film"",""back_accessory"":""Nine Tales"",""body"":""Blue"",""clothes"":""Joker Suit"",""mouth"":""Missing Tooth"",""eyes"":""Assassin Gray"",""wield"":""Tie Dye Wine"",""accessory"":""Nose Scar"",""head"":""Green Beanie"",""earring"":""Snow Globe""}}}"
00529,Summer,None,Yellow,Holiday Suit,Pierced Tongue,Calm Teal,Wolverine,Reading Glasses,Headband,Safety Pin,895.9,"{""721"":{""ergoat-00529"":{""index"":00529,""generation"":1,""background"":""Summer"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Holiday Suit"",""mouth"":""Pierced Tongue"",""eyes"":""Calm Teal"",""wield"":""Wolverine"",""accessory"":""Reading Glasses"",""head"":""Headband"",""earring"":""Safety Pin""}}}"
00530,Clover Field,None,Yellow,Black Suit,Tongue Tied,Calm Purple,Spiked Bat,Rudolph,Afro,Snowman,822,"{""721"":{""ergoat-00530"":{""index"":00530,""generation"":1,""background"":""Clover Field"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Black Suit"",""mouth"":""Tongue Tied"",""eyes"":""Calm Purple"",""wield"":""Spiked Bat"",""accessory"":""Rudolph"",""head"":""Afro"",""earring"":""Snowman""}}}"
00531,Peach Line,Blue Katana,Gray,Lab Coat No1,Screaming,Calm Purple,Necronomicon,Blue Energy,Horns,None,899.3,"{""721"":{""ergoat-00531"":{""index"":00531,""generation"":1,""background"":""Peach Line"",""back_accessory"":""Blue Katana"",""body"":""Gray"",""clothes"":""Lab Coat No1"",""mouth"":""Screaming"",""eyes"":""Calm Purple"",""wield"":""Necronomicon"",""accessory"":""Blue Energy"",""head"":""Horns"",""earring"":""None""}}}"
00532,Rojo,None,Brown,Black ERGoat Shirt,Gritted Teeth,Angry Purple,Red Wine,Nose Scar,Green Beanie,None,1054.5,"{""721"":{""ergoat-00532"":{""index"":00532,""generation"":1,""background"":""Rojo"",""back_accessory"":""None"",""body"":""Brown"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Gritted Teeth"",""eyes"":""Angry Purple"",""wield"":""Red Wine"",""accessory"":""Nose Scar"",""head"":""Green Beanie"",""earring"":""None""}}}"
00533,Movie Foam,None,Teal,Tat Blasted,Snake,Calm Teal,Spirit Gun,Pentagram,Royal Guard Hat,None,855.4,"{""721"":{""ergoat-00533"":{""index"":00533,""generation"":1,""background"":""Movie Foam"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""Tat Blasted"",""mouth"":""Snake"",""eyes"":""Calm Teal"",""wield"":""Spirit Gun"",""accessory"":""Pentagram"",""head"":""Royal Guard Hat"",""earring"":""None""}}}"
00534,Clover Field,Red Katana,Red,Tat Blasted,Grin,Angry Purple,White Wine,Mustache,Rambo,Safety Pin,755.6,"{""721"":{""ergoat-00534"":{""index"":00534,""generation"":1,""background"":""Clover Field"",""back_accessory"":""Red Katana"",""body"":""Red"",""clothes"":""Tat Blasted"",""mouth"":""Grin"",""eyes"":""Angry Purple"",""wield"":""White Wine"",""accessory"":""Mustache"",""head"":""Rambo"",""earring"":""Safety Pin""}}}"
00535,Forever Sunshine,None,Purple,Black Suit,Gritted Teeth,Angry Purple,Christmas Mug,Green Energy,Dark Horns,Gold Hoop,924,"{""721"":{""ergoat-00535"":{""index"":00535,""generation"":1,""background"":""Forever Sunshine"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""Black Suit"",""mouth"":""Gritted Teeth"",""eyes"":""Angry Purple"",""wield"":""Christmas Mug"",""accessory"":""Green Energy"",""head"":""Dark Horns"",""earring"":""Gold Hoop""}}}"
00536,Sun Belt,Bow and Arrows,Orange,Ripped Suit,Grin,Angry Red,Cigarette,Evil Face Tattoo,Dark Cowboy Hat,None,915.5,"{""721"":{""ergoat-00536"":{""index"":00536,""generation"":1,""background"":""Sun Belt"",""back_accessory"":""Bow and Arrows"",""body"":""Orange"",""clothes"":""Ripped Suit"",""mouth"":""Grin"",""eyes"":""Angry Red"",""wield"":""Cigarette"",""accessory"":""Evil Face Tattoo"",""head"":""Dark Cowboy Hat"",""earring"":""None""}}}"
00537,Sun Belt,Buster Sword,Teal,Orange Hawaiian Shirt,Screaming,Calm Purple,Snowball,Red Energy,Dark Ronin Hat,Hanafudu No2,699.3,"{""721"":{""ergoat-00537"":{""index"":00537,""generation"":1,""background"":""Sun Belt"",""back_accessory"":""Buster Sword"",""body"":""Teal"",""clothes"":""Orange Hawaiian Shirt"",""mouth"":""Screaming"",""eyes"":""Calm Purple"",""wield"":""Snowball"",""accessory"":""Red Energy"",""head"":""Dark Ronin Hat"",""earring"":""Hanafudu No2""}}}"
00538,Cherry Blossom,None,Pink,Holiday Suit,Smirk,Assassin Gray,Christmas Mug,Blue Energy,Headband,Present,764.9,"{""721"":{""ergoat-00538"":{""index"":00538,""generation"":1,""background"":""Cherry Blossom"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""Holiday Suit"",""mouth"":""Smirk"",""eyes"":""Assassin Gray"",""wield"":""Christmas Mug"",""accessory"":""Blue Energy"",""head"":""Headband"",""earring"":""Present""}}}"
00539,Sunshine,Nine Tales,Brown,Dark Santa,Gritted Teeth,Crazy Yellow,Basketball,Evil Face Tattoo,Purple Beanie,Silver Hoop,751.9,"{""721"":{""ergoat-00539"":{""index"":00539,""generation"":1,""background"":""Sunshine"",""back_accessory"":""Nine Tales"",""body"":""Brown"",""clothes"":""Dark Santa"",""mouth"":""Gritted Teeth"",""eyes"":""Crazy Yellow"",""wield"":""Basketball"",""accessory"":""Evil Face Tattoo"",""head"":""Purple Beanie"",""earring"":""Silver Hoop""}}}"
00540,Score Line,Blue Katana,Brown,Blue Ninja Armor,Snake,Super,Tie Dye Wine,Nose Scar,Ronin Hat,None,744.3,"{""721"":{""ergoat-00540"":{""index"":00540,""generation"":1,""background"":""Score Line"",""back_accessory"":""Blue Katana"",""body"":""Brown"",""clothes"":""Blue Ninja Armor"",""mouth"":""Snake"",""eyes"":""Super"",""wield"":""Tie Dye Wine"",""accessory"":""Nose Scar"",""head"":""Ronin Hat"",""earring"":""None""}}}"
00541,Skinny Dip,Bag of Toys,Green,Black Suit,Missing Tooth,Calm Purple,White Wine,Face Cuts,Dark Horns,Safety Pin,846.9,"{""721"":{""ergoat-00541"":{""index"":00541,""generation"":1,""background"":""Skinny Dip"",""back_accessory"":""Bag of Toys"",""body"":""Green"",""clothes"":""Black Suit"",""mouth"":""Missing Tooth"",""eyes"":""Calm Purple"",""wield"":""White Wine"",""accessory"":""Face Cuts"",""head"":""Dark Horns"",""earring"":""Safety Pin""}}}"
00542,Iced,None,Frozen,None,Frozen Tooth,Cold Silver,Snowball,Frozen Chain,Cold Ram Horns,Diamond Stud,,"{""721"":{""ergoat-00542"":{""index"":00542,""generation"":1,""background"":""Iced"",""back_accessory"":""None"",""body"":""Frozen"",""clothes"":""None"",""mouth"":""Frozen Tooth"",""eyes"":""Cold Silver"",""wield"":""Snowball"",""accessory"":""Frozen Chain"",""head"":""Cold Ram Horns"",""earring"":""Diamond Stud""}}}"
00543,Skyism,None,Teal,Black Suit,Sharp,Kawaii,Snowball,Silver Chain Necklace,Ram Horns,Silver Hoop,864,"{""721"":{""ergoat-00543"":{""index"":00543,""generation"":1,""background"":""Skyism"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""Black Suit"",""mouth"":""Sharp"",""eyes"":""Kawaii"",""wield"":""Snowball"",""accessory"":""Silver Chain Necklace"",""head"":""Ram Horns"",""earring"":""Silver Hoop""}}}"
00544,Monochrome,None,Teal,White Suit,Tongue Tied,Stoned,Coconut,Red Collar,War Helmet,Ergo Chain,843,"{""721"":{""ergoat-00544"":{""index"":00544,""generation"":1,""background"":""Monochrome"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""White Suit"",""mouth"":""Tongue Tied"",""eyes"":""Stoned"",""wield"":""Coconut"",""accessory"":""Red Collar"",""head"":""War Helmet"",""earring"":""Ergo Chain""}}}"
00545,Watermelon,None,Brown,Lab Coat No2,Sharp,Angry Red,Tie Dye Wine,3D Glasses No2,Ronin Hat,Silver Hoop,892.1,"{""721"":{""ergoat-00545"":{""index"":00545,""generation"":1,""background"":""Watermelon"",""back_accessory"":""None"",""body"":""Brown"",""clothes"":""Lab Coat No2"",""mouth"":""Sharp"",""eyes"":""Angry Red"",""wield"":""Tie Dye Wine"",""accessory"":""3D Glasses No2"",""head"":""Ronin Hat"",""earring"":""Silver Hoop""}}}"
00546,Seattle Proper,None,Blue,Ronin White,Smirk,Calm Purple,Trident,Bronze Medal,Santa Hat,Sapphire Stud,837.2,"{""721"":{""ergoat-00546"":{""index"":00546,""generation"":1,""background"":""Seattle Proper"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Ronin White"",""mouth"":""Smirk"",""eyes"":""Calm Purple"",""wield"":""Trident"",""accessory"":""Bronze Medal"",""head"":""Santa Hat"",""earring"":""Sapphire Stud""}}}"
00547,Water Hole,None,Brown,Black ERGoat Shirt,Gritted Teeth,Crazy Blue,Christmas Mug,Silver Medal,Ram Horns,Snowman,890.5,"{""721"":{""ergoat-00547"":{""index"":00547,""generation"":1,""background"":""Water Hole"",""back_accessory"":""None"",""body"":""Brown"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Gritted Teeth"",""eyes"":""Crazy Blue"",""wield"":""Christmas Mug"",""accessory"":""Silver Medal"",""head"":""Ram Horns"",""earring"":""Snowman""}}}"
00548,Cherry Blossom,None,Teal,White ERGoat Shirt,Flopped,Calm Purple,Necronomicon,3D Glasses No2,Orange Afro,Ergo Chain,785.5,"{""721"":{""ergoat-00548"":{""index"":00548,""generation"":1,""background"":""Cherry Blossom"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""White ERGoat Shirt"",""mouth"":""Flopped"",""eyes"":""Calm Purple"",""wield"":""Necronomicon"",""accessory"":""3D Glasses No2"",""head"":""Orange Afro"",""earring"":""Ergo Chain""}}}"
00549,Crime Scene,Bow and Arrows,Blue,Green Ninja Armor,Sharp,Heart,White Wine,Gray Collar,Clown Afro,Present,637,"{""721"":{""ergoat-00549"":{""index"":00549,""generation"":1,""background"":""Crime Scene"",""back_accessory"":""Bow and Arrows"",""body"":""Blue"",""clothes"":""Green Ninja Armor"",""mouth"":""Sharp"",""eyes"":""Heart"",""wield"":""White Wine"",""accessory"":""Gray Collar"",""head"":""Clown Afro"",""earring"":""Present""}}}"
00550,Lilac,Monkey Tail,Yellow,Green Hawaiian Shirt,Grin,Angry Purple,White Wine,Gray Collar,Flame,None,869.1,"{""721"":{""ergoat-00550"":{""index"":00550,""generation"":1,""background"":""Lilac"",""back_accessory"":""Monkey Tail"",""body"":""Yellow"",""clothes"":""Green Hawaiian Shirt"",""mouth"":""Grin"",""eyes"":""Angry Purple"",""wield"":""White Wine"",""accessory"":""Gray Collar"",""head"":""Flame"",""earring"":""None""}}}"
00551,Pinot Noir Film,Red Katana,Orange,White ERGoat Shirt,Pierced Tongue,Calm Purple,Coconut,Nose Scar,Red Beanie,Gold Hoop,806.7,"{""721"":{""ergoat-00551"":{""index"":00551,""generation"":1,""background"":""Pinot Noir Film"",""back_accessory"":""Red Katana"",""body"":""Orange"",""clothes"":""White ERGoat Shirt"",""mouth"":""Pierced Tongue"",""eyes"":""Calm Purple"",""wield"":""Coconut"",""accessory"":""Nose Scar"",""head"":""Red Beanie"",""earring"":""Gold Hoop""}}}"
00552,Rojo,None,Gray,Santa Sweater,Sharp,Stoned,Trident,Gray Collar,Dark Horns,None,903.2,"{""721"":{""ergoat-00552"":{""index"":00552,""generation"":1,""background"":""Rojo"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Santa Sweater"",""mouth"":""Sharp"",""eyes"":""Stoned"",""wield"":""Trident"",""accessory"":""Gray Collar"",""head"":""Dark Horns"",""earring"":""None""}}}"
00553,Seattle Proper,Blue Katana,Teal,Green Hawaiian Shirt,Flopped,Calm Purple,Cigarette,Nose Scar,Cowboy Hat,Ergo Chain,799.3,"{""721"":{""ergoat-00553"":{""index"":00553,""generation"":1,""background"":""Seattle Proper"",""back_accessory"":""Blue Katana"",""body"":""Teal"",""clothes"":""Green Hawaiian Shirt"",""mouth"":""Flopped"",""eyes"":""Calm Purple"",""wield"":""Cigarette"",""accessory"":""Nose Scar"",""head"":""Cowboy Hat"",""earring"":""Ergo Chain""}}}"
00554,Forever Sunshine,None,Blue,Tat Blasted,Grin,Assassin Green,Candy Cane,Red Collar,Cowboy Hat,Ergo Chain,822.4,"{""721"":{""ergoat-00554"":{""index"":00554,""generation"":1,""background"":""Forever Sunshine"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Tat Blasted"",""mouth"":""Grin"",""eyes"":""Assassin Green"",""wield"":""Candy Cane"",""accessory"":""Red Collar"",""head"":""Cowboy Hat"",""earring"":""Ergo Chain""}}}"
00555,Hazy Eve,Red Parrot,Brown,Ripped Suit,Gritted Teeth,Crazy Blue,Cupcake,Gray Collar,Orange Afro,Present,796,"{""721"":{""ergoat-00555"":{""index"":00555,""generation"":1,""background"":""Hazy Eve"",""back_accessory"":""Red Parrot"",""body"":""Brown"",""clothes"":""Ripped Suit"",""mouth"":""Gritted Teeth"",""eyes"":""Crazy Blue"",""wield"":""Cupcake"",""accessory"":""Gray Collar"",""head"":""Orange Afro"",""earring"":""Present""}}}"
00556,Polaroid Christmas,Bag of Toys,Christmas,Santa,Screaming,Green Christmas,Christmas Mug,None,Santa Hat,None,964,"{""721"":{""ergoat-00556"":{""index"":00556,""generation"":1,""background"":""Polaroid Christmas"",""back_accessory"":""Bag of Toys"",""body"":""Christmas"",""clothes"":""Santa"",""mouth"":""Screaming"",""eyes"":""Green Chritmas"",""wield"":""Christmas Mug"",""accessory"":""None"",""head"":""Santa Hat"",""earring"":""None""}}}"
00557,Sunshine,None,Red,Black Suit,Gold Tooth,Angry Purple,White Wine,Bronze Medal,Orange Afro,Safety Pin,886,"{""721"":{""ergoat-00557"":{""index"":00557,""generation"":1,""background"":""Sunshine"",""back_accessory"":""None"",""body"":""Red"",""clothes"":""Black Suit"",""mouth"":""Gold Tooth"",""eyes"":""Angry Purple"",""wield"":""White Wine"",""accessory"":""Bronze Medal"",""head"":""Orange Afro"",""earring"":""Safety Pin""}}}"
